"Parasite.species","host_record_lcdb_nhm","host_sp_no_subsp","host_genus_lcdb_nhm","best_host_name"
"Seuratum cadarachense","Eliomys quercinus","Eliomys quercinus","Eliomys","Eliomys quercinus"
"Seuratum nguyenvanaii","Blatta orientalis","Blatta orientalis","Blatta","Blatta orientalis"
"Seuratum nguyenvanaii","Periplaneta americana","Periplaneta americana","Periplaneta","Periplaneta americana"
"Seuratum nguyenvanaii","Suncus murinus","Suncus murinus","Suncus","Suncus murinus"
"Sicarius dipterum","Asida jurinei","Asida jurinei","Asida","Asida jurinei"
"Sicarius dipterum","Asida sericea","Asida sericea","Asida","Asida sericea"
"Sicarius dipterum","Phylan abbreviatus","Phylan abbreviatus","Phylan","Phylan abbreviatus"
"Sicarius dipterum","Tentyria mucronata","Tentyria mucronata","Tentyria","Tentyria mucronata"
"Sicarius dipterum","Upupa epops","Upupa epops","Upupa","Upupa epops"
"Simondsia paradoxa","Caccobius schreberi","Caccobius schreberi","Caccobius","Caccobius schreberi"
"Simondsia paradoxa","Copris hispanus","Copris hispanus","Copris","Copris hispanus"
"Simondsia paradoxa","Geotrupes mutator","Geotrupes mutator","Geotrupes","Geotrupes mutator"
"Simondsia paradoxa","Geotrupes spiniger","Geotrupes spiniger","Geotrupes","Geotrupes spiniger"
"Simondsia paradoxa","Oniticellus pallens","Oniticellus pallens","Oniticellus","Euoniticellus intermedius"
"Simondsia paradoxa","Onthophagus sp.","Onthophagus sp.","Onthophagus","Onthophagus sp."
"Simondsia paradoxa","Onthophagus taurus","Onthophagus taurus","Onthophagus","Onthophagus taurus"
"Simondsia paradoxa","Sisyphus schaefferi","Sisyphus schaefferi","Sisyphus","Sisyphus schaefferi"
"Simondsia paradoxa","Apodemus sylvaticus","Apodemus sylvaticus","Apodemus","Apodemus sylvaticus"
"Simondsia paradoxa","Cavia porcellus","Cavia porcellus","Cavia","Cavia porcellus"
"Simondsia paradoxa","Crocidura caerulea","Crocidura caerulea","Crocidura","Crocidura caerulea"
"Simondsia paradoxa","Crocidura suaveolens","Crocidura suaveolens","Crocidura","Crocidura suaveolens"
"Simondsia paradoxa","Erinaceus roumanicus","Erinaceus roumanicus","Erinaceus","Erinaceus roumanicus"
"Simondsia paradoxa","Hemidactylus flaviviridis","Hemidactylus flaviviridis","Hemidactylus","Hemidactylus flaviviridis"
"Simondsia paradoxa","Mesocricetus auratus","Mesocricetus auratus","Mesocricetus","Mesocricetus auratus"
"Simondsia paradoxa","Mus musculus","Mus musculus","Mus","Mus musculus"
"Simondsia paradoxa","Oryctolagus cuniculus","Oryctolagus cuniculus","Oryctolagus","Oryctolagus cuniculus"
"Simondsia paradoxa","Passer domesticus","Passer domesticus","Passer","Passer domesticus"
"Simondsia paradoxa","Pelophylax ridibundus","Pelophylax ridibundus","Pelophylax","Pelophylax ridibundus"
"Simondsia paradoxa","Talpa europaea","Talpa europaea","Talpa","Talpa europaea"
"Simondsia paradoxa","Triturus triturus","Triturus triturus","Triturus","Triturus triturus"
"Simondsia paradoxa","Phacochoerus africanus","Phacochoerus africanus","Phacochoerus","Phacochoerus africanus"
"Simondsia paradoxa","Sus scrofa","Sus scrofa","Sus","Sus scrofa"
"Skrjabinelazia galliardi","Gryllus sp.","Gryllus sp.","Gryllus","Gryllus sp."
"Skrjabinelazia galliardi","Gonadotes humeralis","Gonadotes humeralis","Gonadotes","Gonadotes humeralis"
"Skrjabinema ovis","Capra aegagrus","Capra aegagrus","Capra","Capra hircus"
"Skrjabinema ovis","Oreamnos americanus","Oreamnos americanus","Oreamnos","Oreamnos americanus"
"Skrjabinema ovis","Ovis aries","Ovis aries","Ovis","Ovis aries"
"Skrjabinema ovis","Ovis canadensis","Ovis canadensis","Ovis","Ovis canadensis"
"Skrjabingylus chitwoodorum","Agriolimax agrestes","Agriolimax agrestes","Agriolimax","Agriolimax agrestis"
"Skrjabingylus chitwoodorum","Epiphragmophora sp.","Epiphragmophora sp.","Epiphragmophora","Epiphragmophora sp."
"Skrjabingylus chitwoodorum","Helix pomatia","Helix pomatia","Helix","Helix pomatia"
"Skrjabingylus chitwoodorum","Limax cinereus","Limax cinereus","Limax","Limax cinereus"
"Skrjabingylus chitwoodorum","Limax flavus","Limax flavus","Limax","Limax flavus"
"Skrjabingylus chitwoodorum","Limax maximus","Limax maximus","Limax","Limax maximus"
"Skrjabingylus chitwoodorum","Limax niger","Limax niger","Limax","Limax niger"
"Skrjabingylus chitwoodorum","Mesodon thyroidus","Mesodon thyroidus","Mesodon","Mesodon thyroidus"
"Skrjabingylus chitwoodorum","Milax sp.","Milax sp.","Milax","Milax sp."
"Skrjabingylus chitwoodorum","Ameiurus nebulosus","Ameiurus nebulosus","Ameiurus","Ameiurus nebulosus"
"Skrjabingylus chitwoodorum","Anaxyrus americanus","Anaxyrus americanus","Anaxyrus","Anaxyrus americanus"
"Skrjabingylus chitwoodorum","Lithobates pipiens","Lithobates pipiens","Lithobates","Lithobates pipiens"
"Skrjabingylus chitwoodorum","Mus musculus","Mus musculus","Mus","Mus musculus"
"Skrjabingylus chitwoodorum","Thamnophis sirtalis","Thamnophis sirtalis","Thamnophis","Thamnophis sirtalis"
"Skrjabingylus chitwoodorum","Mephitis mephitis","Mephitis mephitis","Mephitis","Mephitis mephitis"
"Skrjabingylus chitwoodorum","Spilogale putorius","Spilogale putorius","Spilogale","Spilogale putorius"
"Skrjabingylus lutrae","Mesodon thyroidus","Mesodon thyroidus","Mesodon","Mesodon thyroidus"
"Skrjabingylus lutrae","Lontra canadensis","Lontra canadensis","Lontra","Lontra canadensis"
"Skrjabingylus nasicola","Agriolimax reticulatus","Agriolimax reticulatus","Agriolimax","Agriolimax reticulatus"
"Skrjabingylus nasicola","Cochlicopa lubrica","Cochlicopa lubrica","Cochlicopa","Cochlicopa lubrica"
"Skrjabingylus nasicola","Euparypha pisana","Euparypha pisana","Euparypha","Euparypha pisana"
"Skrjabingylus nasicola","Helicella arenosa","Helicella arenosa","Helicella","Helicella arenosa"
"Skrjabingylus nasicola","Mesodon thyroidus","Mesodon thyroidus","Mesodon","Mesodon thyroidus"
"Skrjabingylus nasicola","Zenobiella rubiginosa","Zenobiella rubiginosa","Zenobiella","Zenobiella rubiginosa"
"Skrjabingylus nasicola","Apodemus sylvaticus","Apodemus sylvaticus","Apodemus","Apodemus sylvaticus"
"Skrjabingylus nasicola","Myodes glareolus","Myodes glareolus","Myodes","Myodes glareolus"
"Skrjabingylus nasicola","Sorex araneus","Sorex araneus","Sorex","Sorex araneus"
"Skrjabingylus nasicola","Mustela altaica","Mustela altaica","Mustela","Mustela altaica"
"Skrjabingylus nasicola","Mustela erminea","Mustela erminea","Mustela","Mustela erminea"
"Skrjabingylus nasicola","Mustela eversmanii","Mustela eversmanii","Mustela","Mustela eversmanii"
"Skrjabingylus nasicola","Mustela frenata","Mustela frenata","Mustela","Mustela frenata"
"Skrjabingylus nasicola","Mustela itatsi","Mustela itatsi","Mustela","Mustela itatsi"
"Skrjabingylus nasicola","Mustela lutreola","Mustela lutreola","Mustela","Mustela lutreola"
"Skrjabingylus nasicola","Mustela nivalis","Mustela nivalis","Mustela","Mustela nivalis"
"Skrjabingylus nasicola","Mustela putorius","Mustela putorius","Mustela","Mustela putorius"
"Skrjabingylus nasicola","Mustela sibirica","Mustela sibirica","Mustela","Mustela sibirica"
"Skrjabingylus nasicola","Neovison vison","Neovison vison","Neovison","Neovison vison"
"Skrjabingylus petrowi","Succinea ovalis","Succinea ovalis","Succinea","Succinea ovalis"
"Skrjabingylus petrowi","Martes foina","Martes foina","Martes","Martes foina"
"Skrjabingylus petrowi","Martes martes","Martes martes","Martes","Martes martes"
"Skrjabinocerca americana","Hyalella azteca","Hyalella azteca","Hyalella","Hyalella azteca"
"Skrjabinocerca americana","Limosa fedoa","Limosa fedoa","Limosa","Limosa fedoa"
"Skrjabinocerca americana","Recurvirostra americana","Recurvirostra americana","Recurvirostra","Recurvirostra americana"
"Skrjabinocerca americana","Tringa semipalmata","Tringa semipalmata","Tringa","Tringa semipalmata"
"Skrjabinocerca prima","Orchestia ochotensis","Orchestia ochotensis","Orchestia","Orchestia ochotensis"
"Skrjabinocerca prima","Anthus gustavi","Anthus gustavi","Anthus","Anthus gustavi"
"Skrjabinocerca prima","Arenaria interpres","Arenaria interpres","Arenaria","Arenaria interpres"
"Skrjabinocerca prima","Calcarius lapponicus","Calcarius lapponicus","Calcarius","Calcarius lapponicus"
"Skrjabinocerca prima","Calidris alpina","Calidris alpina","Calidris","Calidris alpina"
"Skrjabinocerca prima","Calidris maritima","Calidris maritima","Calidris","Calidris maritima"
"Skrjabinocerca prima","Charadrius mongolus","Charadrius mongolus","Charadrius","Charadrius mongolus"
"Skrjabinocerca prima","Corvus frugilegus","Corvus frugilegus","Corvus","Corvus frugilegus"
"Skrjabinocerca prima","Cuculus canorus","Cuculus canorus","Cuculus","Cuculus canorus"
"Skrjabinocerca prima","Fratercula cirrhata","Fratercula cirrhata","Fratercula","Fratercula cirrhata"
"Skrjabinocerca prima","Motacilla alba","Motacilla alba","Motacilla","Motacilla alba"
"Skrjabinocerca prima","Numenius phaeopus","Numenius phaeopus","Numenius","Numenius phaeopus"
"Skrjabinocerca prima","Phalaropus lobatus","Phalaropus lobatus","Phalaropus","Phalaropus lobatus"
"Skrjabinocerca prima","Plectrophenax nivalis","Plectrophenax nivalis","Plectrophenax","Plectrophenax nivalis"
"Skrjabinocerca prima","Rattus norvegicus","Rattus norvegicus","Rattus","Rattus norvegicus"
"Skrjabinocerca prima","Tringa incana","Tringa incana","Tringa","Tringa incana"
"Skrjabinocerca prima","Troglodytes troglodytes","Troglodytes troglodytes","Troglodytes","Troglodytes troglodytes"
"Skrjabinocerca prima","Uria aalge","Uria aalge","Uria","Uria aalge"
"Skrjabinoclava inornatae","Uca longisignalis","Uca longisignalis","Uca","Minuca longisignalis"
"Skrjabinoclava inornatae","Limosa fedoa","Limosa fedoa","Limosa","Limosa fedoa"
"Skrjabinoclava inornatae","Tringa melanoleuca","Tringa melanoleuca","Tringa","Tringa melanoleuca"
"Skrjabinoclava inornatae","Tringa semipalmata","Tringa semipalmata","Tringa","Tringa semipalmata"
"Skrjabinoclava morrisoni","Corophium volutator","Corophium volutator","Corophium","Corophium volutator"
"Skrjabinoclava morrisoni","Calidris pusilla","Calidris pusilla","Calidris","Calidris pusilla"
"Skrjabinoptera phrynosoma","Pogonomyrmex barbatus","Pogonomyrmex barbatus","Pogonomyrmex","Pogonomyrmex barbatus"
"Skrjabinoptera phrynosoma","Phrynosoma cornutum","Phrynosoma cornutum","Phrynosoma","Phrynosoma cornutum"
"Skrjabinoptera phrynosoma","Phrynosoma platyrhinos","Phrynosoma platyrhinos","Phrynosoma","Phrynosoma platyrhinos"
"Skrjabinoptera phrynosoma","Phrynosoma solare","Phrynosoma solare","Phrynosoma","Phrynosoma solare"
"Sobolevicanthus bisaccata","Macrocyclops albidus","Macrocyclops albidus","Macrocyclops","Macrocyclops albidus"
"Sobolevicanthus bisaccata","Anas strepera","Anas strepera","Anas","Anas strepera"
"Sobolevicanthus gracilis","Candona compressa","Candona compressa","Candona","Candona compressa"
"Sobolevicanthus gracilis","Candona neglecta","Candona neglecta","Candona","Candona neglecta"
"Sobolevicanthus gracilis","Candona rostrata","Candona rostrata","Candona","Candona rostrata"
"Sobolevicanthus gracilis","Cyclocypris dispersa","Cyclocypris dispersa","Cyclocypris","Cyclocypris dispersa"
"Sobolevicanthus gracilis","Cyclocypris globosa","Cyclocypris globosa","Cyclocypris","Cyclocypris globosa"
"Sobolevicanthus gracilis","Cyclops viridis","Cyclops viridis","Cyclops","Acanthocyclops americanus"
"Sobolevicanthus gracilis","Cypria ophthalmica","Cypria ophthalmica","Cypria","Cypria ophthalmica"
"Sobolevicanthus gracilis","Cypridopsis vidua","Cypridopsis vidua","Cypridopsis","Cypridopsis vidua"
"Sobolevicanthus gracilis","Diaptomus spinosus","Diaptomus spinosus","Diaptomus","Arctodiaptomus spinosus"
"Sobolevicanthus gracilis","Diaptomus vulgaris","Diaptomus vulgaris","Diaptomus","Eudiaptomus drieschi"
"Sobolevicanthus gracilis","Dolerocypris fasciata","Dolerocypris fasciata","Dolerocypris","Dolerocypris fasciata"
"Sobolevicanthus gracilis","Eucyclops serrulatus","Eucyclops serrulatus","Eucyclops","Eucyclops serrulatus"
"Sobolevicanthus gracilis","Eucypris virens","Eucypris virens","Eucypris","Eucypris virens"
"Sobolevicanthus gracilis","Mesocyclops crassus","Mesocyclops crassus","Mesocyclops","Thermocyclops crassus"
"Sobolevicanthus gracilis","Paracyclops fimbriatus","Paracyclops fimbriatus","Paracyclops","Paracyclops fimbriatus"
"Sobolevicanthus gracilis","Lymnaea ovata","Lymnaea ovata","Lymnaea","Ampullaceana balthica"
"Sobolevicanthus gracilis","Lymnaea peregra","Lymnaea peregra","Lymnaea","Lymnaea peregra"
"Sobolevicanthus gracilis","Lymnaea stagnalis","Lymnaea stagnalis","Lymnaea","Lymnaea stagnalis"
"Sobolevicanthus gracilis","Planorbis planorbis","Planorbis planorbis","Planorbis","Planorbis planorbis"
"Sobolevicanthus gracilis","Viviparus viviparus","Viviparus viviparus","Viviparus","Viviparus viviparus"
"Sobolevicanthus gracilis","Anas acuta","Anas acuta","Anas","Anas acuta"
"Sobolevicanthus gracilis","Anas crecca","Anas crecca","Anas","Anas crecca"
"Sobolevicanthus gracilis","Anas fulvigula","Anas fulvigula","Anas","Anas fulvigula"
"Sobolevicanthus gracilis","Anas platyrhynchos","Anas platyrhynchos","Anas","Anas platyrhynchos"
"Sobolevicanthus gracilis","Anas querquedula","Anas querquedula","Anas","Anas querquedula"
"Sobolevicanthus gracilis","Anas rubripes","Anas rubripes","Anas","Anas rubripes"
"Sobolevicanthus gracilis","Aythya affinis","Aythya affinis","Aythya","Aythya affinis"
"Sobolevicanthus gracilis","Aythya collaris","Aythya collaris","Aythya","Aythya collaris"
"Sobolevicanthus gracilis","Aythya nyroca","Aythya nyroca","Aythya","Aythya nyroca"
"Sobolevicanthus gracilis","Chen caerulescens","Chen caerulescens","Chen","Chen caerulescens"
"Sobolevicanthus krabbeella","Eucyclops serrulatus","Eucyclops serrulatus","Eucyclops","Eucyclops serrulatus"
"Sobolevicanthus krabbeella","Mesocyclops crassus","Mesocyclops crassus","Mesocyclops","Thermocyclops crassus"
"Sobolevicanthus krabbeella","Anas crecca","Anas crecca","Anas","Anas crecca"
"Sobolevicanthus krabbeella","Anas platyrhynchos","Anas platyrhynchos","Anas","Anas platyrhynchos"
"Sobolevicanthus krabbeella","Anas querquedula","Anas querquedula","Anas","Anas querquedula"
"Sobolevicanthus octacantha","Eucyclops serrulatus","Eucyclops serrulatus","Eucyclops","Eucyclops serrulatus"
"Sobolevicanthus octacantha","Mesocyclops crassus","Mesocyclops crassus","Mesocyclops","Thermocyclops crassus"
"Sobolevicanthus octacantha","Lymnaea ovata","Lymnaea ovata","Lymnaea","Ampullaceana balthica"
"Sobolevicanthus octacantha","Anas acuta","Anas acuta","Anas","Anas acuta"
"Sobolevicanthus octacantha","Anas platyrhynchos","Anas platyrhynchos","Anas","Anas platyrhynchos"
"Sobolevicanthus octacantha","Anas querquedula","Anas querquedula","Anas","Anas querquedula"
"Sobolevicanthus octacantha","Aythya affinis","Aythya affinis","Aythya","Aythya affinis"
"Soboliphyme baturini","Enchytraidae sp.","Enchytraidae sp.","Enchytraidae","Enchytraidae sp."
"Soboliphyme baturini","Myodes rufocanus","Myodes rufocanus","Myodes","Myodes rufocanus"
"Soboliphyme baturini","Sorex caecutiens","Sorex caecutiens","Sorex","Sorex caecutiens"
"Soboliphyme baturini","Sorex camtschatica","Sorex camtschatica","Sorex","Sorex camtschatica"
"Soboliphyme baturini","Sorex cinereus","Sorex cinereus","Sorex","Sorex cinereus"
"Soboliphyme baturini","Sorex daphaenodon","Sorex daphaenodon","Sorex","Sorex daphaenodon"
"Soboliphyme baturini","Sorex gracillimus","Sorex gracillimus","Sorex","Sorex gracillimus"
"Soboliphyme baturini","Sorex isodon","Sorex isodon","Sorex","Sorex isodon"
"Soboliphyme baturini","Sorex tundrensis","Sorex tundrensis","Sorex","Sorex tundrensis"
"Soboliphyme baturini","Sorex unguiculatus","Sorex unguiculatus","Sorex","Sorex unguiculatus"
"Soboliphyme baturini","Felis catus","Felis catus","Felis","Felis catus"
"Soboliphyme baturini","Gulo gulo","Gulo gulo","Gulo","Gulo gulo"
"Soboliphyme baturini","Martes americana","Martes americana","Martes","Martes americana"
"Soboliphyme baturini","Martes caurina","Martes caurina","Martes","Martes caurina"
"Soboliphyme baturini","Martes zibellina","Martes zibellina","Martes","Martes zibellina"
"Soboliphyme baturini","Neovison vison","Neovison vison","Neovison","Neovison vison"
"Soboliphyme baturini","Vulpes vulpes","Vulpes vulpes","Vulpes","Vulpes vulpes"
"Soboliphyme occidentalis","Talpa occidentalis","Talpa occidentalis","Talpa","Talpa occidentalis"
"Soboliphyme soricis","Sorex araneus","Sorex araneus","Sorex","Sorex araneus"
"Southwellina hispida","Orchestia sp.","Orchestia sp.","Orchestia","Orchestia sp."
"Southwellina hispida","Astyanax fasciatus","Astyanax fasciatus","Astyanax","Astyanax fasciatus"
"Southwellina hispida","Centropomus nigrescens","Centropomus nigrescens","Centropomus","Centropomus nigrescens"
"Southwellina hispida","Cichlasoma trimaculatum","Cichlasoma trimaculatum","Cichlasoma","Cichlasoma trimaculatum"
"Southwellina hispida","Cichlasoma urophthalmus","Cichlasoma urophthalmus","Cichlasoma","Mayaheros urophthalmus"
"Southwellina hispida","Eleotris picta","Eleotris picta","Eleotris","Eleotris picta"
"Southwellina hispida","Gobiomorus maculatus","Gobiomorus maculatus","Gobiomorus","Gobiomorus maculatus"
"Southwellina hispida","Lutjanus argentiventris","Lutjanus argentiventris","Lutjanus","Lutjanus argentiventris"
"Southwellina hispida","Anhinga anhinga","Anhinga anhinga","Anhinga","Anhinga anhinga"
"Southwellina hispida","Ardea alba","Ardea alba","Ardea","Ardea alba"
"Southwellina hispida","Ardea cinerea","Ardea cinerea","Ardea","Ardea cinerea"
"Southwellina hispida","Ardea herodias","Ardea herodias","Ardea","Ardea herodias"
"Southwellina hispida","Botaurus lentiginosus","Botaurus lentiginosus","Botaurus","Botaurus lentiginosus"
"Southwellina hispida","Butorides virescens","Butorides virescens","Butorides","Butorides virescens"
"Southwellina hispida","Egretta garzetta","Egretta garzetta","Egretta","Egretta garzetta"
"Southwellina hispida","Egretta intermedia","Egretta intermedia","Egretta","Egretta intermedia"
"Southwellina hispida","Egretta tricolor","Egretta tricolor","Egretta","Egretta tricolor"
"Southwellina hispida","Nyctanassa violacea","Nyctanassa violacea","Nyctanassa","Nyctanassa violacea"
"Southwellina hispida","Nycticorax nycticorax","Nycticorax nycticorax","Nycticorax","Nycticorax nycticorax"
